spc,spc_grp_orig,spc_grp_alt
AB,AB,AB
AG,AW,AW
AL,OH,OH
AM,OH,OH
AQ,OH,OH
AW,AW,AW
AX,AW,AW
B,BF,BF
BB,OH,OH
BC,OH,OH
BD,BD,BD
BE,BE,BE
BF,BF,BF
BG,BW,BW
BL,BD,BD
BN,OH,OH
BP,OH,OH
BW,BW,BW
BY,YB,YB
CAT,OH,OH
CB,CH,CH
CC,OH,OH
CD,OH,OH
CE,CE,CE
CH,CH,CH
CHB,CH,CH
CM,CH,CH
CP,OH,OH
CR,CE,CE
CS,OH,OH
CT,OH,OH
CW,CE,CE
E,EX,EW
EMA,OH,EW
ER,EX,EW
EU,EX,EW
EW,EX,EW
EX,EX,EW
GB,OH,OH
GT,OH,OH
H,OH,OH
HAZ,OH,OH
HB,OH,OH
HC,OH,OH
HE,HE,HE
HI,OH,OH
HK,OH,OH
HL,OH,OH
HM,OH,OH
HP,OH,OH
HS,OH,OH
HT,OH,OH
I,IW,IW
ID,IW,IW
IW,IW,IW
KK,OH,OH
L,LA,LA
LA,LA,LA
LB,OH,OH
LE,LA,LA
LJ,LA,LA
LL,OH,OH
LO,OH,OH
MB,MH,MH
MF,MH,MH
MH,MH,MH
MM,MH,MH
MN,MH,MH
MO,OH,OH
MP,OH,OH
MR,MR,MS
MS,MR,MS
MT,OH,OH
MX,MH,MH
O,QR,QR
OB,OB,OB
OBL,OB,OB
OC,OC,OC
OCH,OW,QR
OH,OH,OH
OP,OW,OW
OR,QR,QR
OS,OW,OW
OSW,OW,OW
OW,OW,OW
OX,QR,QR
PA,OH,OH
PB,PB,PO
PC,PO,PO
PD,PO,PO
PE,PO,PO
PG,PO,PO
PH,PO,PO
PJ,PJ,PJ
PL,PL,PO
PN,OC,OC
PO,PO,PO
PP,OC,OC
PR,PR,PR
PS,OC,OC
PT,PT,PO
PW,PW,PW
PX,PW,PW
QR,QR,QR
RED,OH,OH
S,SW,SW
SB,SB,SB
SC,OC,OC
SK,OC,OC
SN,SW,OC
SP,SB,SB
SR,SW,SW
SS,OH,OH
SW,SW,SW
SX,SB,SB
SY,OH,OH
TA,LA,LA
TP,OH,OH
WB,OH,OH
WI,OH,OH
YB,YB,YB
