"AGE","AC_5","AC_10","AC_20","AGE_YCC"
0,5,5,10,0
1,5,5,10,1
2,5,5,10,2
3,5,5,10,3
4,5,5,10,4
5,5,5,10,5
6,10,5,10,6
7,10,5,10,7
8,10,5,10,8
9,10,5,10,9
10,10,5,10,10
11,15,15,10,11
12,15,15,10,12
13,15,15,10,13
14,15,15,10,14
15,15,15,10,15
16,20,15,10,16
17,20,15,10,17
18,20,15,10,18
19,20,15,10,19
20,20,15,10,20
21,25,25,30,21
22,25,25,30,22
23,25,25,30,23
24,25,25,30,24
25,25,25,30,25
26,30,25,30,26
27,30,25,30,27
28,30,25,30,28
29,30,25,30,29
30,30,25,30,30
31,35,35,30,31
32,35,35,30,32
33,35,35,30,33
34,35,35,30,34
35,35,35,30,35
36,40,35,30,36
37,40,35,30,37
38,40,35,30,38
39,40,35,30,39
40,40,35,30,40
41,45,45,50,41
42,45,45,50,42
43,45,45,50,43
44,45,45,50,44
45,45,45,50,45
46,50,45,50,46
47,50,45,50,47
48,50,45,50,48
49,50,45,50,49
50,50,45,50,50
51,55,55,50,51
52,55,55,50,52
53,55,55,50,53
54,55,55,50,54
55,55,55,50,55
56,60,55,50,56
57,60,55,50,57
58,60,55,50,58
59,60,55,50,59
60,60,55,50,60
61,65,65,70,61
62,65,65,70,62
63,65,65,70,63
64,65,65,70,64
65,65,65,70,65
66,70,65,70,66
67,70,65,70,67
68,70,65,70,68
69,70,65,70,69
70,70,65,70,70
71,75,75,70,71
72,75,75,70,72
73,75,75,70,73
74,75,75,70,74
75,75,75,70,75
76,80,75,70,76
77,80,75,70,77
78,80,75,70,78
79,80,75,70,79
80,80,75,70,80
81,85,85,90,81
82,85,85,90,82
83,85,85,90,83
84,85,85,90,84
85,85,85,90,85
86,90,85,90,86
87,90,85,90,87
88,90,85,90,88
89,90,85,90,89
90,90,85,90,90
91,95,95,90,91
92,95,95,90,92
93,95,95,90,93
94,95,95,90,94
95,95,95,90,95
96,100,95,90,96
97,100,95,90,97
98,100,95,90,98
99,100,95,90,99
100,100,95,90,100
101,105,105,110,101
102,105,105,110,102
103,105,105,110,103
104,105,105,110,104
105,105,105,110,105
106,110,105,110,106
107,110,105,110,107
108,110,105,110,108
109,110,105,110,109
110,110,105,110,110
111,115,115,110,111
112,115,115,110,112
113,115,115,110,113
114,115,115,110,114
115,115,115,110,115
116,120,115,110,116
117,120,115,110,117
118,120,115,110,118
119,120,115,110,119
120,120,115,110,120
121,125,125,130,121
122,125,125,130,122
123,125,125,130,123
124,125,125,130,124
125,125,125,130,125
126,130,125,130,126
127,130,125,130,127
128,130,125,130,128
129,130,125,130,129
130,130,125,130,130
131,135,135,130,131
132,135,135,130,132
133,135,135,130,133
134,135,135,130,134
135,135,135,130,135
136,140,135,130,136
137,140,135,130,137
138,140,135,130,138
139,140,135,130,139
140,140,135,130,140
141,145,145,150,141
142,145,145,150,142
143,145,145,150,143
144,145,145,150,144
145,145,145,150,145
146,150,145,150,146
147,150,145,150,147
148,150,145,150,148
149,150,145,150,149
150,150,145,150,149
151,155,155,150,149
152,155,155,150,149
153,155,155,150,149
154,155,155,150,149
155,155,155,150,149
156,160,155,150,149
157,160,155,150,149
158,160,155,150,149
159,160,155,150,149
160,160,155,150,149
161,165,165,170,149
162,165,165,170,149
163,165,165,170,149
164,165,165,170,149
165,165,165,170,149
166,170,165,170,149
167,170,165,170,149
168,170,165,170,149
169,170,165,170,149
170,170,165,170,149
171,175,175,170,149
172,175,175,170,149
173,175,175,170,149
174,175,175,170,149
175,175,175,170,149
176,180,175,170,149
177,180,175,170,149
178,180,175,170,149
179,180,175,170,149
180,180,175,170,149
181,185,185,190,149
182,185,185,190,149
183,185,185,190,149
184,185,185,190,149
185,185,185,190,149
186,190,185,190,149
187,190,185,190,149
188,190,185,190,149
189,190,185,190,149
190,190,185,190,149
191,195,185,190,149
192,195,185,190,149
193,195,185,190,149
194,195,185,190,149
195,195,185,190,149
196,200,185,190,149
197,200,185,190,149
198,200,185,190,149
199,200,185,190,149
200,200,185,210,149
201,205,185,210,149
202,205,185,210,149
203,205,185,210,149
204,205,185,210,149
205,205,185,210,149
206,210,185,210,149
207,210,185,210,149
208,210,185,210,149
209,210,185,210,149
210,210,185,210,149
211,215,185,210,149
212,215,185,210,149
213,215,185,210,149
214,215,185,210,149
215,215,185,210,149
216,220,185,210,149
217,220,185,210,149
218,220,185,210,149
219,220,185,230,149
220,220,185,230,149
221,225,185,230,149
222,225,185,230,149
223,225,185,230,149
224,225,185,230,149
225,225,185,230,149
226,230,185,230,149
227,230,185,230,149
228,230,185,230,149
229,230,185,230,149
230,230,185,230,149
231,235,185,230,149
232,235,185,230,149
233,235,185,230,149
234,235,185,230,149
235,235,185,230,149
236,240,185,230,149
237,240,185,230,149
238,240,185,250,149
239,240,185,250,149
240,240,185,250,149
241,245,185,250,149
242,245,185,250,149
243,245,185,250,149
244,245,185,250,149
245,245,185,250,149
246,250,185,250,149
247,250,185,250,149
248,250,185,250,149
249,250,185,250,149
250,250,185,250,149
251,250,185,250,149
252,250,185,250,149
253,250,185,250,149
254,250,185,250,149
255,250,185,250,149
256,250,185,250,149
257,250,185,250,149
258,250,185,250,149
259,250,185,250,149
260,250,185,250,149
261,250,185,250,149
262,250,185,250,149
263,250,185,250,149
264,250,185,250,149
265,250,185,250,149
266,250,185,250,149
267,250,185,250,149
268,250,185,250,149
269,250,185,250,149
270,250,185,250,149
271,250,185,250,149
272,250,185,250,149
273,250,185,250,149
274,250,185,250,149
275,250,185,250,149
276,250,185,250,149
277,250,185,250,149
278,250,185,250,149
279,250,185,250,149
280,250,185,250,149
281,250,185,250,149
282,250,185,250,149
283,250,185,250,149
284,250,185,250,149
285,250,185,250,149
286,250,185,250,149
287,250,185,250,149
288,250,185,250,149
289,250,185,250,149
290,250,185,250,149
291,250,185,250,149
292,250,185,250,149
293,250,185,250,149
294,250,185,250,149
295,250,185,250,149
296,250,185,250,149
297,250,185,250,149
298,250,185,250,149
299,250,185,250,149
300,250,185,250,149
301,250,185,250,149
302,250,185,250,149
303,250,185,250,149
304,250,185,250,149
305,250,185,250,149
306,250,185,250,149
307,250,185,250,149
308,250,185,250,149
309,250,185,250,149
310,250,185,250,149
311,250,185,250,149
312,250,185,250,149
313,250,185,250,149
314,250,185,250,149
315,250,185,250,149
316,250,185,250,149
317,250,185,250,149
318,250,185,250,149
319,250,185,250,149
320,250,185,250,149
321,250,185,250,149
322,250,185,250,149
323,250,185,250,149
324,250,185,250,149
325,250,185,250,149
326,250,185,250,149
327,250,185,250,149
328,250,185,250,149
329,250,185,250,149
330,250,185,250,149
331,250,185,250,149
332,250,185,250,149
333,250,185,250,149
334,250,185,250,149
335,250,185,250,149
336,250,185,250,149
337,250,185,250,149
338,250,185,250,149
339,250,185,250,149
340,250,185,250,149
341,250,185,250,149
342,250,185,250,149
343,250,185,250,149
344,250,185,250,149
345,250,185,250,149
346,250,185,250,149
347,250,185,250,149
348,250,185,250,149
349,250,185,250,149
350,250,185,250,149
